"time","NZL Wind Direction (Degs)","NZL Wind Speed (M/Sec)","NZL Lat","NZL Long","NZL time_time","NZL time diff","NZL_Lat_difference","NZL_Long_difference","NZL_Distance.to.next","NZL_Speed","Wind Direction (Degs) (#1)","Wind Speed (M/Sec) (#1)","USA Lat","USA Long","USA time_time (#1)","USA time diff","USA_Lat_difference","USA_Long_difference","USA_Distance.to.next","USA_Speed","Distance_NZL_USA"
"13:58:04",262.7,17.2,37.8127508,-122.4535089,"13:58:04",1.0,3.329999999834854E-5,-4.319999999324864E-5,2.9751299993066955E-9,2.9751299993066955E-9,262.7,17.2,37.8234545,-122.4570238,"13:58:04",1.0,1.6100000003405057E-5,-1.8199999999524152E-5,5.90450000092322E-10,5.90450000092322E-10,0.0112660425926699
"13:58:05",262.6,17.2,37.8127841,-122.4535521,"13:58:05",1.0,3.1499999998629846E-5,-4.220000000998425E-5,2.773090000756351E-9,2.773090000756351E-9,262.6,17.2,37.8234706,-122.457042,"13:58:05",1.0,1.1299999997049781E-5,-1.3899999999011925E-5,3.2089999990585656E-10,3.2089999990585656E-10,0.011241916396237984
"13:58:06",262.6,17.2,37.8128156,-122.4535943,"13:58:06",1.0,2.9800000000079763E-5,-4.529999999647316E-5,2.9401299996852225E-9,2.9401299996852225E-9,262.6,17.2,37.8234819,-122.4570559,"13:58:06",1.0,5.900000004999129E-6,-1.4800000002423985E-5,2.538500001307397E-10,2.538500001307397E-10,0.011213948022435923
"13:58:07",262.5,17.2,37.8128454,-122.4536396,"13:58:07",1.0,2.3800000001017452E-5,-4.289999999684824E-5,2.4068499997780093E-9,2.4068499997780093E-9,262.5,17.2,37.8234878,-122.4570707,"13:58:07",1.0,-4.0000000467443897E-7,-1.4300000003686364E-5,2.0465000010916958E-10,2.0465000010916958E-10,0.011181821183064973
"13:58:08",262.5,17.2,37.8128692,-122.4536825,"13:58:08",1.0,2.2699999995268172E-5,-4.429999999899792E-5,2.477779999696391E-9,2.477779999696391E-9,262.5,17.2,37.8234874,-122.457085,"13:58:08",1.0,-2.8999999983625457E-6,-1.3699999996674705E-5,1.9609999989938969E-10,1.9609999989938969E-10,0.01115003038067458
"13:58:09",262.4,17.2,37.8128919,-122.4537268,"13:58:09",1.0,2.2400000005973197E-5,-4.2399999998110616E-5,2.2995200001073796E-9,2.2995200001073796E-9,262.4,17.2,37.8234845,-122.4570987,"13:58:09",1.0,-6.100000000230921E-6,-1.1899999989850585E-5,1.7881999976126116E-10,1.7881999976126116E-10,0.011116334124615235
"13:58:10",262.4,17.2,37.8129143,-122.4537692,"13:58:10",1.0,2.3599999998680232E-5,-4.200000000764703E-5,2.3209600005800577E-9,2.3209600005800577E-9,262.4,17.2,37.8234784,-122.4571106,"13:58:10",1.0,-8.299999997518626E-6,-1.300000000981072E-5,2.378900002138879E-10,2.378900002138879E-10,0.011079944168176049
"13:58:11",262.4,17.2,37.8129379,-122.4538112,"13:58:11",1.0,2.4099999997417854E-5,-4.400000000259752E-5,2.516810000104122E-9,2.516810000104122E-9,262.4,17.2,37.8234701,-122.4571236,"13:58:11",1.0,-8.800000003361674E-6,-1.6899999991437653E-5,3.6304999976975816E-10,3.6304999976975816E-10,0.011040798458444629
"13:58:12",262.4,17.2,37.812962,-122.4538552,"13:58:12",1.0,2.2999999998774E-5,-4.229999998983658E-5,2.3182899990837786E-9,2.3182899990837786E-9,262.4,17.2,37.8234613,-122.4571405,"13:58:12",1.0,-1.160000000055561E-5,-2.540000001260978E-5,7.79720000653467E-10,7.79720000653467E-10,0.011001295222831886
"13:58:13",262.4,17.2,37.812985,-122.4538975,"13:58:13",1.0,2.4500000002092293E-5,-4.230000000404743E-5,2.389540000444935E-9,2.389540000444935E-9,262.4,17.2,37.8234497,-122.4571659,"13:58:13",1.0,-1.1999999998124622E-5,-2.6799999986337752E-5,8.622399992226945E-10,8.622399992226945E-10,0.010963228751151141
